graph,max_color,answer,has_answer,method,solved,message,cost_function,time
1_1,2,2,1,systematic_search,1,solved,0,0.0001
1_1,2,2,1,greedy_search,1,solved,0,5.7e-05
1_1,2,2,1,SA,1,solved,0,0.022342
1_1,3,2,1,systematic_search,1,solved,0,9.4e-05
1_1,3,2,1,greedy_search,1,solved,0,5.9e-05
1_1,3,2,1,SA,1,solved,0,0.028437
1_1,4,2,1,systematic_search,1,solved,0,0.0001
1_1,4,2,1,greedy_search,1,solved,0,5.6e-05
1_1,4,2,1,SA,1,solved,0,0.026211
1_1,5,2,1,systematic_search,1,solved,0,9.4e-05
1_1,5,2,1,greedy_search,1,solved,0,5.1e-05
1_1,5,2,1,SA,1,solved,0,0.026913
1_1,6,2,1,systematic_search,1,solved,0,9.1e-05
1_1,6,2,1,greedy_search,1,solved,0,5e-05
1_1,6,2,1,SA,1,solved,0,0.007212
1_2,2,2,1,systematic_search,1,solved,0,0.000995
1_2,2,2,1,greedy_search,1,solved,0,0.000609
1_2,2,2,1,SA,1,solved,0,0.028468
1_2,3,2,1,systematic_search,1,solved,0,0.000828
1_2,3,2,1,greedy_search,1,solved,0,0.000632
1_2,3,2,1,SA,1,solved,0,0.035323
1_2,4,2,1,systematic_search,1,solved,0,0.000808
1_2,4,2,1,greedy_search,1,solved,0,0.000708
1_2,4,2,1,SA,1,solved,0,0.037549
1_2,5,2,1,systematic_search,1,solved,0,0.000803
1_2,5,2,1,greedy_search,1,solved,0,0.00094
1_2,5,2,1,SA,1,solved,0,0.043365
1_2,6,2,1,systematic_search,1,solved,0,0.00085
1_2,6,2,1,greedy_search,1,solved,0,0.000875
1_2,6,2,1,SA,1,solved,0,0.043711
1_3,2,2,1,systematic_search,1,solved,0,0.003105
1_3,2,2,1,greedy_search,1,solved,0,0.002142
1_3,2,2,1,SA,1,solved,0,0.034371
1_3,3,2,1,systematic_search,1,solved,0,0.003087
1_3,3,2,1,greedy_search,1,solved,0,0.002344
1_3,3,2,1,SA,1,solved,0,0.0513
1_3,4,2,1,systematic_search,1,solved,0,0.002836
1_3,4,2,1,greedy_search,1,solved,0,0.002631
1_3,4,2,1,SA,1,solved,0,0.057638
1_3,5,2,1,systematic_search,1,solved,0,0.002643
1_3,5,2,1,greedy_search,1,solved,0,0.002543
1_3,5,2,1,SA,1,solved,0,0.066861
1_3,6,2,1,systematic_search,1,solved,0,0.00276
1_3,6,2,1,greedy_search,1,solved,0,0.003019
1_3,6,2,1,SA,1,solved,0,0.063449
2_1,2,3,0,systematic_search,0,no_solution,250,0.000392
2_1,2,3,0,greedy_search,0,local_optima_reached,52,0.000313
2_1,2,3,0,SA,0,max_iteration_reached,52,0.087276
2_1,3,3,1,systematic_search,1,solved,0,0.000236
2_1,3,3,1,greedy_search,1,solved,0,0.000206
2_1,3,3,1,SA,1,solved,0,0.031778
2_1,4,3,1,systematic_search,1,solved,0,0.000279
2_1,4,3,1,greedy_search,1,solved,0,0.000185
2_1,4,3,1,SA,1,solved,0,0.034176
2_1,5,3,1,systematic_search,1,solved,0,0.000235
2_1,5,3,1,greedy_search,1,solved,0,0.000209
2_1,5,3,1,SA,1,solved,0,0.038807
2_1,6,3,1,systematic_search,1,solved,0,0.000267
2_1,6,3,1,greedy_search,0,local_optima_reached,1,0.000286
2_1,6,3,1,SA,1,solved,0,0.041155
2_2,2,3,0,systematic_search,0,no_solution,6393,0.002986
2_2,2,3,0,greedy_search,0,local_optima_reached,1265,0.002805
2_2,2,3,0,SA,0,max_iteration_reached,1265,0.088617
2_2,3,3,1,systematic_search,1,solved,0,0.003371
2_2,3,3,1,greedy_search,1,solved,0,0.003396
2_2,3,3,1,SA,1,solved,0,0.065585
2_2,4,3,1,systematic_search,1,solved,0,0.003199
2_2,4,3,1,greedy_search,1,solved,0,0.003384
2_2,4,3,1,SA,1,solved,0,0.072828
2_2,5,3,1,systematic_search,1,solved,0,0.002985
2_2,5,3,1,greedy_search,1,solved,0,0.003812
2_2,5,3,1,SA,1,solved,0,0.076263
2_2,6,3,1,systematic_search,1,solved,0,0.002944
2_2,6,3,1,greedy_search,1,solved,0,0.004388
2_2,6,3,1,SA,1,solved,0,0.080541
2_3,2,3,0,systematic_search,0,no_solution,25173,0.01
2_3,2,3,0,greedy_search,0,local_optima_reached,9507,0.008246
2_3,2,3,0,SA,0,max_iteration_reached,5006,0.105471
2_3,3,3,1,systematic_search,1,solved,0,0.011492
2_3,3,3,1,greedy_search,1,solved,0,0.012466
2_3,3,3,1,SA,1,solved,0,0.102297
2_3,4,3,1,systematic_search,1,solved,0,0.011228
2_3,4,3,1,greedy_search,1,solved,0,0.013762
2_3,4,3,1,SA,1,solved,0,0.104517
2_3,5,3,1,systematic_search,1,solved,0,0.010646
2_3,5,3,1,greedy_search,1,solved,0,0.013769
2_3,5,3,1,SA,1,solved,0,0.125226
2_3,6,3,1,systematic_search,1,solved,0,0.010705
2_3,6,3,1,greedy_search,1,solved,0,0.014786
2_3,6,3,1,SA,1,solved,0,0.128505
3_1,2,5,0,systematic_search,0,no_solution,492,0.000244
3_1,2,5,0,greedy_search,0,local_optima_reached,170,0.00027
3_1,2,5,0,SA,0,max_iteration_reached,170,0.080852
3_1,3,5,0,systematic_search,0,no_solution,492,0.155208
3_1,3,5,0,greedy_search,0,local_optima_reached,85,0.000267
3_1,3,5,0,SA,0,max_iteration_reached,70,0.072514
3_1,4,5,0,systematic_search,0,time_limit_exceed,-1,5
3_1,4,5,0,greedy_search,0,local_optima_reached,27,0.000333
3_1,4,5,0,SA,0,max_iteration_reached,26,0.073433
3_1,5,5,1,systematic_search,1,solved,0,0.000354
3_1,5,5,1,greedy_search,0,local_optima_reached,27,0.000314
3_1,5,5,1,SA,1,solved,0,0.042047
3_1,6,5,1,systematic_search,1,solved,0,0.000393
3_1,6,5,1,greedy_search,0,local_optima_reached,21,0.000285
3_1,6,5,1,SA,1,solved,0,0.042915
3_2,2,5,0,systematic_search,0,no_solution,12640,0.003348
3_2,2,5,0,greedy_search,0,local_optima_reached,4863,0.003869
3_2,2,5,0,SA,0,max_iteration_reached,4906,0.139162
3_2,3,5,0,systematic_search,0,time_limit_exceed,-1,5
3_2,3,5,0,greedy_search,0,local_optima_reached,2378,0.005105
3_2,3,5,0,SA,0,max_iteration_reached,2413,0.130989
3_2,4,5,0,systematic_search,0,time_limit_exceed,-1,5
3_2,4,5,0,greedy_search,0,local_optima_reached,1072,0.007384
3_2,4,5,0,SA,0,max_iteration_reached,1072,0.153376
3_2,5,5,1,systematic_search,1,solved,0,0.005129
3_2,5,5,1,greedy_search,1,solved,0,0.007808
3_2,5,5,1,SA,1,solved,0,0.115519
3_2,6,5,1,systematic_search,1,solved,0,0.005241
3_2,6,5,1,greedy_search,1,solved,0,0.00875
3_2,6,5,1,SA,1,solved,0,0.113714
3_3,2,5,0,systematic_search,0,no_solution,50216,0.012452
3_3,2,5,0,greedy_search,0,local_optima_reached,19774,0.014589
3_3,2,5,0,SA,0,max_iteration_reached,19712,0.200855
3_3,3,5,0,systematic_search,0,time_limit_exceed,-1,5
3_3,3,5,0,greedy_search,0,local_optima_reached,9743,0.021403
3_3,3,5,0,SA,0,max_iteration_reached,9832,0.189571
3_3,4,5,0,systematic_search,0,time_limit_exceed,-1,5
3_3,4,5,0,greedy_search,0,local_optima_reached,4515,0.026818
3_3,4,5,0,SA,0,max_iteration_reached,4471,0.212205
3_3,5,5,1,systematic_search,1,solved,0,0.018109
3_3,5,5,1,greedy_search,1,solved,0,0.02803
3_3,5,5,1,SA,1,solved,0,0.190074
3_3,6,5,1,systematic_search,1,solved,0,0.017653
3_3,6,5,1,greedy_search,1,solved,0,0.030507
3_3,6,5,1,SA,1,solved,0,0.198727
